wavelength_Angstroms,flux,uncertainty
12828.54,0.9664,0.11
12828.73,1.0749,0.11
12828.91,1.1386,0.11
12829.1,1.1761,0.11
12829.28,1.1937,0.11
12829.47,1.1915,0.11
12829.65,1.1828,0.11
12829.83,1.1768,0.11
12830.02,1.1491,0.11
12830.2,1.0924,0.11
12830.39,1.034,0.11
12830.57,1.0174,0.11
12830.76,1.0361,0.11
12830.94,1.0301,0.11
12831.13,0.9962,0.11
12831.31,0.9109,0.11
12831.5,0.8407,0.11
12831.68,0.8593,0.11
12831.87,0.8918,0.11
12832.05,0.9113,0.11
12832.23,0.9113,0.11
12832.42,0.8903,0.11
12832.6,0.8574,0.11
12832.79,0.8145,0.11
12832.97,0.8109,0.11
12833.16,0.832,0.11
12833.34,0.8182,0.11
12833.53,0.7465,0.11
12833.71,0.6676,0.11
12833.9,0.6661,0.11
12834.08,0.6622,0.11
12834.26,0.6528,0.11
12834.45,0.696,0.11
12834.63,0.7367,0.11
12834.82,0.8221,0.11
12835.0,0.9255,0.11
12835.19,0.9939,0.11
12835.37,1.0295,0.11
12835.56,1.0512,0.11
12835.74,1.0578,0.11
12835.93,1.0302,0.11
12836.11,1.0092,0.11
12836.3,1.0282,0.11
12836.48,1.0351,0.11
12836.66,1.0311,0.11
12836.85,1.0379,0.11
12837.03,1.0566,0.11
12837.22,1.0837,0.11
12837.4,1.0952,0.11
12837.59,1.091,0.11
12837.77,1.0915,0.11
12837.96,1.1023,0.11
12838.14,1.1191,0.11
12838.33,1.1309,0.11
12838.51,1.15,0.11
12838.69,1.1855,0.11
12838.88,1.1997,0.11
12839.06,1.1946,0.11
12839.25,1.1756,0.11
12839.43,1.1844,0.11
12839.62,1.2176,0.11
12839.8,1.2204,0.11
12839.99,1.221,0.11
12840.17,1.2317,0.11
12840.36,1.2369,0.11
12840.54,1.2263,0.11
12840.73,1.1962,0.11
12840.91,1.1558,0.11
12841.09,1.0958,0.11
12841.28,1.0294,0.11
12841.46,1.0398,0.11
12841.65,1.1031,0.11
12841.83,1.1443,0.11
12842.02,1.1855,0.11
12842.2,1.22,0.11
12842.39,1.2466,0.11
12842.57,1.2488,0.11
12842.76,1.2467,0.11
12842.94,1.2494,0.11
12843.13,1.2524,0.11
12843.31,1.2644,0.11
12843.5,1.2693,0.11
12843.68,1.2748,0.11
12843.86,1.2584,0.11
12844.05,1.234,0.11
12844.23,1.2119,0.11
12844.42,1.1956,0.11
12844.6,1.1864,0.11
12844.79,1.1523,0.11
12844.97,1.1056,0.11
12845.16,1.0409,0.11
12845.34,0.9454,0.11
12845.53,0.9389,0.11
12845.71,1.0276,0.11
12845.9,1.0996,0.11
12846.08,1.1485,0.11
12846.26,1.1688,0.11
12846.45,1.1721,0.11
12846.63,1.1978,0.11
12846.82,1.2285,0.11
12847.0,1.2347,0.11
12847.19,1.2225,0.11
12847.37,1.2013,0.11
12847.56,1.1733,0.11
12847.74,1.1319,0.11
12847.93,1.0766,0.11
12848.11,1.0551,0.11
12848.3,1.082,0.11
12848.48,1.1043,0.11
12848.66,1.1018,0.11
12848.85,1.0721,0.11
12849.03,1.0092,0.11
12849.22,0.9464,0.11
12849.4,0.9439,0.11
12849.59,0.9802,0.11
12849.77,0.9937,0.11
12849.96,0.975,0.11
12850.14,0.9163,0.11
12850.33,0.8221,0.11
12850.51,0.8127,0.11
12850.7,0.8674,0.11
