wavelength_Angstroms,flux,uncertainty
12828.54,1.0223,0.09
12828.73,1.0439,0.09
12828.91,1.0646,0.09
12829.1,1.0849,0.09
12829.28,1.0944,0.09
12829.47,1.0981,0.09
12829.65,1.0751,0.09
12829.83,1.0387,0.09
12830.02,1.0066,0.09
12830.2,0.992,0.09
12830.39,0.9758,0.09
12830.57,0.95,0.09
12830.76,0.9232,0.09
12830.94,0.9079,0.09
12831.13,0.907,0.09
12831.31,0.8969,0.09
12831.5,0.8728,0.09
12831.68,0.8572,0.09
12831.87,0.8385,0.09
12832.05,0.8297,0.09
12832.23,0.8229,0.09
12832.42,0.8089,0.09
12832.6,0.8159,0.09
12832.79,0.8348,0.09
12832.97,0.8505,0.09
12833.16,0.8576,0.09
12833.34,0.8632,0.09
12833.53,0.8901,0.09
12833.71,0.9061,0.09
12833.9,0.9104,0.09
12834.08,0.9218,0.09
12834.26,0.9454,0.09
12834.45,0.9745,0.09
12834.63,0.9917,0.09
12834.82,1.0134,0.09
12835.0,1.0396,0.09
12835.19,1.0672,0.09
12835.37,1.0921,0.09
12835.56,1.0895,0.09
12835.74,1.0747,0.09
12835.93,1.0695,0.09
12836.11,1.0651,0.09
12836.3,1.0676,0.09
12836.48,1.0664,0.09
12836.66,1.0633,0.09
12836.85,1.0696,0.09
12837.03,1.059,0.09
12837.22,1.0512,0.09
12837.4,1.0487,0.09
12837.59,1.032,0.09
12837.77,1.0037,0.09
12837.96,0.9723,0.09
12838.14,0.9499,0.09
12838.33,0.9385,0.09
12838.51,0.931,0.09
12838.69,0.9235,0.09
12838.88,0.8916,0.09
12839.06,0.8575,0.09
12839.25,0.8331,0.09
12839.43,0.8157,0.09
12839.62,0.817,0.09
12839.8,0.8212,0.09
12839.99,0.8359,0.09
12840.17,0.8373,0.09
12840.36,0.8343,0.09
12840.54,0.8446,0.09
12840.73,0.8669,0.09
12840.91,0.8924,0.09
12841.09,0.9091,0.09
12841.28,0.9287,0.09
12841.46,0.9535,0.09
12841.65,0.9851,0.09
12841.83,1.0172,0.09
12842.02,1.0552,0.09
12842.2,1.0839,0.09
12842.39,1.1057,0.09
12842.57,1.1115,0.09
12842.76,1.1141,0.09
12842.94,1.121,0.09
12843.13,1.1201,0.09
12843.31,1.1255,0.09
12843.5,1.1154,0.09
12843.68,1.0981,0.09
12843.86,1.0775,0.09
12844.05,1.0564,0.09
12844.23,1.0336,0.09
12844.42,1.0243,0.09
12844.6,1.0276,0.09
12844.79,1.0357,0.09
12844.97,1.04,0.09
12845.16,1.0386,0.09
12845.34,1.0334,0.09
12845.53,1.024,0.09
12845.71,1.0133,0.09
12845.9,1.0032,0.09
12846.08,1.0047,0.09
12846.26,1.0181,0.09
12846.45,1.0266,0.09
12846.63,1.0274,0.09
12846.82,1.015,0.09
12847.0,0.9969,0.09
12847.19,0.9902,0.09
12847.37,0.9776,0.09
12847.56,0.9688,0.09
12847.74,0.9717,0.09
12847.93,0.9774,0.09
12848.11,0.973,0.09
12848.3,0.9903,0.09
12848.48,1.0278,0.09
12848.66,1.0598,0.09
12848.85,1.0748,0.09
12849.03,1.0782,0.09
12849.22,1.0789,0.09
12849.4,1.0783,0.09
12849.59,1.0916,0.09
12849.77,1.1033,0.09
12849.96,1.1235,0.09
12850.14,1.1252,0.09
12850.33,1.1154,0.09
12850.51,1.0982,0.09
12850.7,1.084,0.09
12850.88,1.073,0.09
12851.06,1.077,0.09
12851.25,1.0775,0.09
12851.43,1.0655,0.09
12851.62,1.0538,0.09
12851.8,1.0472,0.09
12851.99,1.0566,0.09
12852.17,1.0512,0.09
12852.36,1.0331,0.09
12852.54,1.0142,0.09
12852.73,0.9985,0.09
12852.91,0.9829,0.09
12853.1,0.9768,0.09
12853.28,0.9729,0.09
12853.46,0.9707,0.09
12853.65,0.9637,0.09
12853.83,0.9629,0.09
12854.02,0.9618,0.09
